Entity,Type
455,CARDINAL
55,CARDINAL
455,CARDINAL
455,CARDINAL
first,ORDINAL
past 20 year,DATE
3,CARDINAL
indian,NORP
24k,CARDINAL
samsung trust brand,ORG
8 day,DATE
next day,DATE
1600,CARDINAL
500,CARDINAL
daily,DATE
90,CARDINAL
2,CARDINAL
daily,DATE
66 minute,TIME
800,CARDINAL
1400,CARDINAL
40 degree,QUANTITY
2025,DATE
1112,DATE
23,CARDINAL
12,CARDINAL
ac,ORG
one,CARDINAL
65kg,QUANTITY
last 12yrs,DATE
every day,DATE
1it,ORDINAL
2,CARDINAL
90 degree,QUANTITY
40 90,CARDINAL
3,CARDINAL
4,CARDINAL
last 12yrs,DATE
9kg,QUANTITY
65 kg,QUANTITY
12,CARDINAL
1400,CARDINAL
first,ORDINAL
one,CARDINAL
daily,DATE
first day,DATE
5,CARDINAL
samsung,ORG
10 day,DATE
one,CARDINAL
another feedback 6 month,DATE
lik samsung,PERSON
next day,DATE
next 8 year,DATE
samsung,ORG
second,ORDINAL
28k,CARDINAL
10,CARDINAL
2 3,CARDINAL
almost 90,CARDINAL
80,DATE
second,ORDINAL
28 k,QUANTITY
samsung,ORG
august 2023,DATE
first,ORDINAL
samsung,ORG
2,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
first,ORDINAL
one,CARDINAL
8kg machine model first,QUANTITY
5,CARDINAL
8kg machine,QUANTITY
one,CARDINAL
zero,CARDINAL
4 month,DATE
1 first,DATE
2 second,TIME
3 third,CARDINAL
4 fourth,CARDINAL
3,CARDINAL
5,CARDINAL
4 5,CARDINAL
2 month,DATE
7kg,QUANTITY
1washing,CARDINAL
2no,ORDINAL
3,CARDINAL
4suitable,CARDINAL
first,ORDINAL
32k,CARDINAL
24k,CARDINAL
one month,DATE
superbone month,DATE
samsung,ORG
8kg,QUANTITY
90ml,ORDINAL
10 second,TIME
around 70 kg,QUANTITY
around 31 kg freaking,QUANTITY
day,DATE
12 kg,QUANTITY
one,CARDINAL
cycle week,DATE
34,CARDINAL
8kg,QUANTITY
1015,CARDINAL
samsung,ORG
4 month,DATE
on30,PRODUCT
mayhe,ORG
8 kg,QUANTITY
60,CARDINAL
one,CARDINAL
one,CARDINAL
today,DATE
morning,TIME
samsung,ORG
hour ago,DATE
samsung,ORG
technician,NORP
one,CARDINAL
one,CARDINAL
20 year,DATE
winter,DATE
month,DATE
one,CARDINAL
second,ORDINAL
4 month,DATE
15 day,DATE
3 month,DATE
almost 15 day,DATE
first,ORDINAL
1400,CARDINAL
15 minute,TIME
9 10,CARDINAL
15 day,DATE
20 day,DATE
25k,CARDINAL
5,CARDINAL
5 day,DATE
one month,DATE
80 kg,QUANTITY
75 kg,QUANTITY
5 year 2 time per day 365 day 5 year,DATE
20 year,DATE
one,CARDINAL
first,ORDINAL
two,CARDINAL
1,CARDINAL
2,CARDINAL
first,ORDINAL
worstrealy,GPE
samsubg companyi,PERSON
winter,DATE
60 degree celsius,QUANTITY
20 minute,TIME
one,CARDINAL
8kg,QUANTITY
28k,CARDINAL
8kg,QUANTITY
almost zero,CARDINAL
80,DATE
samsung,ORG
1400,DATE
machine wifi,PERSON
last 20 year,DATE
8 kg,QUANTITY
32000,CARDINAL
keepup,GPE
sup,ORG
zero,CARDINAL
79 kg,QUANTITY
1200,CARDINAL
second,ORDINAL
26918and,CARDINAL
49999,DATE
29999,DATE
48hours,CARDINAL
15 day,DATE
jeevs,PERSON
one month,DATE
