Rating,Title,Review
5,The best in the Range! Go for it...,"Value for Money: 4.5/5
Performance: 5/5
Build quality :4.5/5
Design 4.5/5
Noise 4/5(only drier makes a little noise)


Brief:

This was my first purchase of a Fully Automatic Machine. Been using for a Semi-automatic machine for the past 20 years, we finally decided to shift to a fully automatic machine. Having heard really bad feedback about the top load we decided on the front load. I shortlisted about 3 Brands in the budget - Samsung, LG, Bosch. Heard some quality issues with Bosch in Indian retails washing machines so that was out of the list. Got it for 24K in the BBD sale after card discounts.

Delivery:

Decided to buy Samsung because of the trust in the brand after looking at it in an offline store (Though, I feel LG has very slight edge on build quality). I loved the design on Samsung a little bit better. Coming to delivery, it was delivered after 8 days which is fine considering the BBD rush. Installation was done the next day by Samsung guys.

Installation:

The installation was smooth, and the staff was considerate of any requests. He offered a stand for 1600 and Cover for 500. I felt the quality was nice so decided to go for it!
He explained all the features with great patience. Basically, you are going to use Daily wash mode 90% of the time. I installed the machine in my bathroom, and it is fine.

Operations:

You turn on the machine and tap and choose the mode. 2 caps of liquid detergent and turn on the machine. The daily wash mode takes 66 minutes and try to use only 800 rpm as I feel like 1400 is going to affect the clothes. You can also choose the temperature of the heater. You can also choose from options like soiled for extra dirty clothes and rinse for rinsing the clothes a little longer. All of these options increase the washing time but gets the job done.

Performance:

The washing is perfect, Maybe I haven't experienced front load before but definitely much better than semi-automatic machine. You can also use rinse+ dry option to just dry the wet clothes. The heater dries up the clothes well) (I use 40 degrees to be on the safer side.) The moisture content after drying is about 20-25% which is pretty okay for the price. I have been using it for about a month and I have tried all types of different clothes like Bedsheets, cotton, synthetic, polyester, wool etc. All the stains are well vanished.

At a single load you can fit up to 11-12 normal clothes.
2-3 bedsheets
1-2 ac quilts


Overall, a very value for money washing machine with ample of features. If you have a little more budget, then go for the Wifi connected one. It has more user-friendly operations."
3,Decent product,"Delivery experience was horrible. Only one person has come for delivery. How can one person lift this 65kg item. Now customer has no choice other than to follow the delivery boy for lifting and placing it in my home. What kind of a delivery manner it is? What if only ladies at home? Does the Flipkart expect the same experience with women too? Flipkart must respond to this. Overall, good product with worst delivery experience."
5,Great product,"Excelent Machine. I was using top load machine from last 12yrs and switched to front load. Must say, it is more efficient then the top load machine. it take less water, cleaning efficiency is excelent. The AI feature auto detects the kind of load in and does the wash. As this machine is WiFi enabled you can connect it with your phone and with the confort of the app you can select the wash mode you want. Out of many Features i would like to highlight few of then which is really helpful for every day use. 1.It has got on option of Bubble Wash(here the clothes will be socked in the soap solution for some time and then wash starts) 2. Temp up to 90 degrees. you have option to select temprature from 40 to 90 degress. 3. you can customize the rinz cycle(i.e how many rinz cycle you want). 4. It may sound gimic to have WiFi enabled machine but its really useful as it will give so much informaiton about your machine. to name a few(it will tell you how many wash remaining for durm clean, how much energy you have used and also tells how much money has it consumed. It also gives you option to customized your wash preferrence via the app, so you need not have to be infrot of the machien rotating the nob everytime).Over all after using a top load washing machine form last 12yrs and moving to this machine was a really very good dicision that i took. I tried to share my experience of the machine, hopefully it will help others to take decision."
4,Value-for-money,Amazing product and good quality
4,Very Good,"Pros-
Enough wash cycle options on panel and low noise operation
Touch panel to select functions is better than tactile buttons
Clothes are washed as expected depending on the cycle selected. Earlier i thought top load washes better but front load is better in my opinion now.
Few wash cycle sprays water jet on clothes to remove detergent during rinse

Cons-
9kg Drum size looks the same as my old 6.5 kg top load machine. Before purchasing online, visit some stores to check if the drum size is as per expectation or not. Buy 12kg version of possible.
It has a quick wash option but it is meant for a few clothes.
Electricity consumption is higher
Sometimes clothes are not that dry. My Whirlpool top load used to dry better which had 800 rpm speed. Samsung has 1400 speed.
Not easy to throw soiled clothes in this one like we do in top loads. I feel frequent open close of the front door may loosen the lock and rubber gasket over time. Let's see.
The convenience of filling water from an external pipe or bucket when the water supply is gone is not something you can do here. Not a con but just highlighting if someone faces an irregular water supply."
3,Good,The technician who came to do the installation had no knowledge at all. How can the company get the installation done by such people! And he did not even install the installation parts in the washing machine which were provided by the company.
3,Fair,"Fast delivery, but delivery person demanded extra money of exchange washing machine, even his senior demanding extra money, installation was in hurry and not in a proper manner.

About product, first thing I've noticed that rat protection panel was of cardboard material, one can easily make this. Panel should be provided out of these plastic, steel or rubber.

Cycle stops thrice in between daily wash cycle on first day of usage which is not acceptable.

Overall I'm completely disappointed with flipkart services due to all this.

In return, flipkart is not being providing a plastic rat protection panel which should be given at the time of delivery or installation."
5,Awesome,Good
5,Great product,"We were used to front door of IFB and we have used for longer time 5 yrs with no concerns until it has some motor related issues. While changing to newer machine, I was looking to change the brand and explored. I found this model with Samsung has better features with multiple options. Its too early to share feed back.. but for past 10 days this works fine..

Best part if less noisy and not even know machine is running and beeps indicating machine completed. I am keeping my fingers crossed being Samsung is one of best supplier for home needs and am not anticipating any disappointment. May be I can share another feedback 6 months.

Thanks Flipkart on your delivery service with at most care and Jeeves team member was nice and took good care of Machine installation."
5,Super!,Value of money can’t expect
